DATE	TIME
22-Mar-05	6:30
22-Mar-05	6:45
22-Mar-05	7:00
22-Mar-05	7:15
22-Mar-05	7:30
22-Mar-05	7:45
22-Mar-05	8:00
22-Mar-05	8:15
22-Mar-05	8:30
22-Mar-05	8:45
22-Mar-05	9:00
22-Mar-05	9:15
22-Mar-05	9:30
22-Mar-05	9:45
22-Mar-05	10:00
22-Mar-05	10:15
22-Mar-05	10:30
22-Mar-05	10:45
22-Mar-05	11:00
22-Mar-05	11:15
22-Mar-05	11:30
22-Mar-05	11:45
22-Mar-05	12:00
22-Mar-05	12:15
22-Mar-05	12:30
22-Mar-05	12:45
22-Mar-05	13:00
22-Mar-05	13:15
22-Mar-05	13:30
22-Mar-05	13:45
22-Mar-05	14:00
22-Mar-05	14:15
22-Mar-05	14:30
22-Mar-05	14:45
22-Mar-05	15:00
22-Mar-05	15:15
22-Mar-05	15:30
22-Mar-05	15:45
22-Mar-05	16:00
22-Mar-05	16:15
22-Mar-05	16:30
22-Mar-05	16:45
22-Mar-05	17:00
22-Mar-05	17:15
22-Mar-05	17:30
22-Mar-05	17:45
22-Mar-05	18:00
22-Mar-05	18:15
22-Mar-05	18:30
22-Mar-05	18:45
22-Mar-05	19:00
22-Mar-05	19:15
22-Mar-05	19:30
22-Mar-05	19:45
22-Mar-05	20:00
22-Mar-05	20:15
22-Mar-05	20:30
22-Mar-05	20:45
22-Mar-05	21:00
22-Mar-05	21:15
22-Mar-05	21:30
22-Mar-05	21:45
22-Mar-05	22:00
23-Mar-05	6:30
23-Mar-05	6:45
23-Mar-05	7:00
23-Mar-05	7:15
23-Mar-05	7:30
23-Mar-05	7:45
23-Mar-05	8:00
23-Mar-05	8:15
23-Mar-05	8:30
23-Mar-05	8:45
23-Mar-05	9:00
23-Mar-05	9:15
23-Mar-05	9:30
23-Mar-05	9:45
23-Mar-05	10:00
23-Mar-05	10:15
23-Mar-05	10:30
23-Mar-05	10:45
23-Mar-05	11:00
23-Mar-05	11:15
23-Mar-05	11:30
23-Mar-05	11:45
23-Mar-05	12:00
23-Mar-05	12:15
23-Mar-05	12:30
23-Mar-05	12:45
23-Mar-05	13:00
23-Mar-05	13:15
23-Mar-05	13:30
23-Mar-05	13:45
23-Mar-05	14:00
23-Mar-05	14:15
23-Mar-05	14:30
23-Mar-05	14:45
23-Mar-05	15:00
23-Mar-05	15:15
23-Mar-05	15:30
23-Mar-05	15:45
23-Mar-05	16:00
23-Mar-05	16:15
23-Mar-05	16:30
23-Mar-05	16:45
23-Mar-05	17:00
23-Mar-05	17:15
23-Mar-05	17:30
23-Mar-05	17:45
23-Mar-05	18:00
23-Mar-05	18:15
23-Mar-05	18:30
23-Mar-05	18:45
23-Mar-05	19:00
23-Mar-05	19:15
23-Mar-05	19:30
23-Mar-05	19:45
23-Mar-05	20:00
23-Mar-05	20:15
23-Mar-05	20:30
23-Mar-05	20:45
23-Mar-05	21:00
23-Mar-05	21:15
23-Mar-05	21:30
23-Mar-05	21:45
23-Mar-05	22:00
24-Mar-05	6:30
24-Mar-05	6:45
24-Mar-05	7:00
24-Mar-05	7:15
24-Mar-05	7:30
24-Mar-05	7:45
24-Mar-05	8:00
24-Mar-05	8:15
24-Mar-05	8:30
24-Mar-05	8:45
24-Mar-05	9:00
24-Mar-05	9:15
24-Mar-05	9:30
24-Mar-05	9:45
24-Mar-05	10:00
24-Mar-05	10:15
24-Mar-05	10:30
24-Mar-05	10:45
24-Mar-05	11:00
24-Mar-05	11:15
24-Mar-05	11:30
24-Mar-05	11:45
24-Mar-05	12:00
24-Mar-05	12:15
24-Mar-05	12:30
24-Mar-05	12:45
24-Mar-05	13:00
24-Mar-05	13:15
24-Mar-05	13:30
24-Mar-05	13:45
24-Mar-05	14:00
24-Mar-05	14:15
24-Mar-05	14:30
24-Mar-05	14:45
24-Mar-05	15:00
24-Mar-05	15:15
24-Mar-05	15:30
24-Mar-05	15:45
24-Mar-05	16:00
24-Mar-05	16:15
24-Mar-05	16:30
24-Mar-05	16:45
24-Mar-05	17:00
24-Mar-05	17:15
24-Mar-05	17:30
24-Mar-05	17:45
24-Mar-05	18:00
24-Mar-05	18:15
24-Mar-05	18:30
24-Mar-05	18:45
24-Mar-05	19:00
24-Mar-05	19:15
24-Mar-05	19:30
24-Mar-05	19:45
24-Mar-05	20:00
24-Mar-05	20:15
24-Mar-05	20:30
24-Mar-05	20:45
24-Mar-05	21:00
24-Mar-05	21:15
24-Mar-05	21:30
24-Mar-05	21:45
24-Mar-05	22:00

